Gene	apo_rank	ABrank	ALrank
MAGEC1	878	NA	NA
FEZ1	879	NA	NA
PPYR1	880	NA	NA
CYP20A1	881	NA	NA
LOC63929	882	NA	NA
COL14A1	883	NA	NA
CACNB4	884	NA	NA
PTGER4	885	NA	NA
TAF10	886	NA	NA
GSTZ1	887	69	NA
STEAP	888	NA	NA
CAPZB	889	NA	NA
SNRPF	890	NA	NA
DSG1	891	NA	NA
LGALS3	892	NA	NA
ROBO1	893	NA	NA
TNFRSF21	894	228	NA
GUCY1A3	895	NA	NA
CXXC4	896	NA	NA
ACCN2	897	NA	NA
FLJ22386	898	NA	NA
SGCG	899	NA	NA
GSTT1	900	NA	NA
ACP6	901	NA	NA
SLC35A1	902	NA	NA
PDCD2	903	NA	NA
SMA3	904	NA	NA
PGRMC2	905	350	NA
FLJ23129	906	NA	NA
PSMA2	907	NA	NA
PHF7	908	NA	NA
CTDSP1	909	NA	NA
MSRB	910	NA	NA
AKAP5	911	NA	NA
CA10	912	NA	NA
EBI3	913	NA	NA
MRPS17	914	NA	NA
NUDT15	915	NA	123
CDC42SE1	916	NA	NA
D2LIC	917	NA	NA
RNPEP	918	NA	NA
BSPRY	919	NA	NA
MASP2	920	NA	NA
PNLIPRP1	921	NA	NA
ITGA3	922	NA	NA
PEX3	923	NA	89
MARCKSL1	924	NA	NA
LRRC16	925	NA	NA
RBKS	926	NA	NA
DACH1	927	NA	NA
YPEL5	928	NA	NA
HAT1	929	NA	NA
OTUB2	930	NA	NA
ENTPD2	931	NA	NA
TYRP1	932	NA	NA
KCTD15	933	NA	NA
UBE2L3	934	NA	NA
EDG7	935	NA	NA
SKP1A	936	NA	NA
MID1IP1	937	NA	NA
OIP5	938	NA	NA
RIF1	939	NA	NA
KRT24	940	NA	NA
F2RL1	941	NA	NA
CDH2	942	NA	NA
MOAP1	943	NA	NA
KIAA1970	944	NA	NA
CPEB3	945	NA	NA
KRT1	946	NA	NA
COIL	947	NA	NA
SCG3	948	NA	NA
H2AFV	949	NA	NA
ATP5J	950	NA	NA
LOC133619	951	NA	NA
NIPSNAP1	952	NA	NA
RIPK1	953	NA	NA
ABAT	954	NA	NA
LRIG1	955	NA	NA
BSCL2	956	NA	NA
BDKRB2	957	NA	NA
AACS	958	NA	NA
CX3CR1	959	NA	NA
CCT6B	960	NA	NA
NFATC1	961	NA	NA
CGI-121	962	NA	NA
MEST	963	NA	NA
DAP	964	286	136
HSD17B4	965	NA	240
PCK2	966	NA	NA
COMMD3	967	NA	NA
HRAS	968	NA	NA
FLJ20321	969	NA	NA
SLC22A17	970	NA	NA
CAB39L	971	NA	NA
TRIM21	972	NA	NA
TRIM68	973	NA	NA
LIPT1	974	NA	NA
CFL1	975	NA	NA
POR	976	NA	NA
KCND2	977	NA	NA
DPP3	978	NA	NA
HIST1H2BC	979	NA	NA
EHMT1	980	NA	NA
COL9A2	981	NA	NA
CD1C	982	NA	NA
DHTKD1	983	NA	NA
AGA	984	NA	NA
DSTN	985	NA	NA
SPATA2	986	NA	NA
KCNS3	987	NA	NA
E2IG5	988	NA	NA
ADIPOR1	989	NA	NA
NIT1	990	NA	NA
S100A12	991	NA	NA
PRKD1	992	NA	NA
ATP2C1	993	NA	NA
WDR37	994	NA	NA
CGI-119	995	NA	NA
CDH10	996	NA	NA
CTSG	997	NA	NA
ACTR1A	998	NA	NA
TBX6	999	NA	NA
FLJ10747	1000	NA	NA
NME1	1001	NA	NA
GNG12	1002	NA	NA
GBP2	1003	NA	NA
